priority	station	route_id	route_name	coverage_level	coverage_description	source_url	route_connections_in_app	lat	lon	v13_in_app_mode	v13_dynamic_source
P0	横浜	keihin	JR 京浜東北・根岸線｜大宮〜大船	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-keihin-negishihome-info/	15	35.466	139.622	static_detail	
P0	横浜	tokaido	JR 東海道線｜東京〜熱海	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-tokaidohome-info/	15	35.466	139.622	static_detail	
P0	横浜	yokohama	JR 横浜線・根岸線直通｜八王子〜大船	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-keihin-negishihome-info/	15	35.466	139.622	static_detail	
P0	横浜	yokosuka	JR 横須賀線｜東京〜久里浜	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-yokosuka-shonanshinjukuline-info/	15	35.466	139.622	static_detail	
P0	横浜	shonan_u	JR 湘南新宿ライン｜宇都宮〜逗子	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-yokosuka-shonanshinjukuline-info/	15	35.466	139.622	static_detail	
P0	横浜	shonan_t	JR 湘南新宿ライン｜高崎〜小田原	D	アプリ内蔵（号車＋ドア）	https://wadattsu261.com/content/yokohama-yokosuka-shonanshinjukuline-info/	15	35.466	139.622	static_detail	
P0	横浜	mm	みなとみらい線｜横浜〜元町・中華街	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-tokyutoyoko-minatomiraihome-info/	15	35.466	139.622	static_car	
P0	横浜	keikyu_k	京急 久里浜線直通｜泉岳寺〜三崎口	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-keikyuhome-info/	15	35.466	139.622	static_car	
P0	横浜	keikyu	京急 本線｜泉岳寺〜浦賀	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-keikyuhome-info/	15	35.466	139.622	static_car	
P0	横浜	keikyu_a	京急 空港線直通｜横浜〜羽田空港	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-keikyuhome-info/	15	35.466	139.622	static_car	
P0	横浜	keikyu_z	京急 逗子線直通｜横浜〜逗子・葉山	C	アプリ内蔵（簡易号車）	https://wadattsu261.com/content/yokohama-keikyuhome-info/	15	35.466	139.622	static_car	
